COMMERCIAL INVOICE,,,,,,,,,,,
Shipper / Exporter,,,,,,No. / Date of Invoice,,,,,
"BOOSTERS CO., LTD",,,,,,MV02050205202509-04,,,,,
"7F, 508, Nonhyeon-ro, Gangnam-gu, Seoul, 06141",,,,,,23/09/2025,,,,,
TEL:+82-10-7725-1067,,,,,,,,,,,
ATTN:Yujin Jang,,,,,,Payment,,,,,
Consignee,,,,,,DDP,,,,,
"Buy2Korea, Inc.",,,,,,,,,,,
"1650 Glenn Curtiss St, Carson,CA 90746 USA",,,,,,,,,,,
TEL:310-747-1530 #1544,,,,,,,,,,,
ATTN:Eunyoung Chung,,,,,,,,,,,
Notify Party,,,,,,Remarks,,,,,
"KW International, Inc.",,,,,,,,,,,
"1650 Glenn Curtiss St, Carson,CA 90746 USA",,,,,,*CAIN# 25C0004LR,,,,,
TEL:310-747-1530 #1544,,,,,,*CBP IDENTIFICATION NUMBER : 252720-30874,,,,,
,,,,,,*CONSIGNEE IS NOT MATCHED WITH IMPORTER OF RECORD.,,,,,
Port of Loading,,,Port of Discharge,,," IMPORTER OF RECORD : BOOSTERS CO., LTD",,,,,
,,,,,,"7F, 508, Nonhyeon-ro, Gangnam-gu, Seoul, 06141",,,,,
Carrier,,,Sailing On / Or Abt,,,*Steel/Aluminum not included,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
FBA SHIPMENT ID,ASIN,COMMODITY DESCRIPTIONS,,ORIGIN,HS Code,Carton No.,Carton,Unit,Qty,Item Price (USD),Total Amount
FBA191QRRJ42,B0D8W2W8C2,Bakuchiol Plumping Serum,,KR,3304.99.5000,FBA191QRRJ42U000001,1,108,108,$8.00,$864.00
FBA191QRRJ42,B0D8W2W8C2,Bakuchiol Plumping Serum,,KR,3304.99.5000,FBA191QRRJ42U000002,1,108,108,$8.00,$864.00
FBA191QRRJ42,B0D8W2W8C2,Bakuchiol Plumping Serum,,KR,3304.99.5000,FBA191QRRJ42U000003,1,108,108,$8.00,$864.00
FBA191QRRJ42,B0D8W2W8C2,Bakuchiol Plumping Serum,,KR,3304.99.5000,FBA191QRRJ42U000004,1,108,108,$8.00,$864.00
FBA191QRRJ42,B0D8W2W8C2,Bakuchiol Plumping Serum,,KR,3304.99.5000,FBA191QRRJ42U000005,1,108,108,$8.00,$864.00
FBA191QRRJ42,B0D8W2W8C2,Bakuchiol Plumping Serum,,KR,3304.99.5000,FBA191QRRJ42U000006,1,108,108,$8.00,$864.00
FBA191QRRJ42,B0D8W2W8C2,Bakuchiol Plumping Serum,,KR,3304.99.5000,FBA191QRRJ42U000007,1,108,108,$8.00,$864.00
FBA191QRRJ42,B0D8W2W8C2,Bakuchiol Plumping Serum,,KR,3304.99.5000,FBA191QRRJ42U000008,1,108,108,$8.00,$864.00
FBA191QRRJ42,B0D8W2W8C2,Bakuchiol Plumping Serum,,KR,3304.99.5000,FBA191QRRJ42U000009,1,108,108,$8.00,$864.00
FBA191QRRJ42,B0D8W2W8C2,Bakuchiol Plumping Serum,,KR,3304.99.5000,FBA191QRRJ42U000010,1,108,108,$8.00,$864.00
FBA191QRRJ42,B0D8W2W8C2,Bakuchiol Plumping Serum,,KR,3304.99.5000,FBA191QRRJ42U000011,1,108,108,$8.00,$864.00
FBA191QRRJ42,B0D8W2W8C2,Bakuchiol Plumping Serum,,KR,3304.99.5000,FBA191QRRJ42U000012,1,108,108,$8.00,$864.00
FBA191QRRJ42,B0D8W2W8C2,Bakuchiol Plumping Serum,,KR,3304.99.5000,FBA191QRRJ42U000013,1,108,108,$8.00,$864.00
